,Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
165,Westworld,1970-01-01 00:00:00.000002021,8.6,"453,101","Drama, Mystery, Sci-Fi",62.0,Series,TV-MA,35,Severe,Severe,Severe,Moderate,Moderate
167,Ghosts,1970-01-01 00:00:00.000002021,8.2,"8,577","Comedy, Fantasy",30.0,Series,TV-14,19,Mild,Mild,Mild,Mild,
168,Fear the Walking Dead,1970-01-01 00:00:00.000002021,6.9,"120,421","Drama, Horror, Sci-Fi",44.0,Series,TV-MA,101,Mild,Severe,Mild,Mild,Severe
169,Cinderella,1970-01-01 00:00:00.000002021,4.2,"33,916","Adventure, Comedy, Family",113.0,Film,PG,-,Mild,,Mild,,
170,Bridgerton,1970-01-01 00:00:00.000002021,7.3,"89,503","Drama, Romance",60.0,Series,TV-MA,16,Severe,Mild,Mild,Mild,Mild
171,Halloween,1970-01-01 00:00:00.000002018,6.5,"132,934","Crime, Horror, Thriller",106.0,Film,R,-,Mild,Severe,Moderate,Mild,Severe
172,The Addams Family,1970-01-01 00:00:00.000002019,5.8,"33,649","Animation, Adventure, Comedy",86.0,Film,PG,-,,Mild,,Mild,Mild
173,House M.D.,1970-01-01 00:00:00.000002019,8.7,"432,280","Drama, Mystery",44.0,Series,TV-14,176,Mild,Moderate,Mild,Moderate,Moderate
174,Good Girls,1970-01-01 00:00:00.000002019,7.8,"44,113","Comedy, Crime, Drama",43.0,Series,TV-14,50,Mild,Moderate,Mild,Moderate,Mild
175,The Flash,1970-01-01 00:00:00.000002019,7.6,"325,626","Action, Adventure, Drama",43.0,Series,TV-PG,165,Mild,Mild,Mild,Mild,Mild
176,Scream,1970-01-01 00:00:00.000001996,7.3,"304,350","Horror, Mystery",111.0,Film,R,-,Mild,Severe,Moderate,Mild,Severe
177,Suits,1970-01-01 00:00:00.000001996,8.4,"380,478","Comedy, Drama",44.0,Series,TV-14,134,Mild,Mild,Moderate,Moderate,
178,Once Upon a Time... in Hollywood,1970-01-01 00:00:00.000002019,7.6,"643,564","Comedy, Drama",161.0,Film,R,-,Mild,Severe,Severe,Moderate,Moderate
179,My Little Pony: A New Generation,1970-01-01 00:00:00.000002021,7.0,"2,247","Animation, Adventure, Comedy",90.0,Film,PG,-,,Mild,,,Mild
180,Jungle Cruise,1970-01-01 00:00:00.000002021,6.6,"113,396","Action, Adventure, Comedy",127.0,Film,PG-13,-,,Moderate,,Mild,Moderate
181,Gilmore Girls,1970-01-01 00:00:00.000002021,8.1,"110,011","Comedy, Drama",44.0,Series,TV-PG,154,Mild,,Mild,Mild,
182,True Detective,1970-01-01 00:00:00.000002021,8.9,"524,326","Crime, Drama, Mystery",55.0,Series,TV-MA,24,Severe,Severe,Severe,Severe,Severe
183,Bones,1970-01-01 00:00:00.000002021,7.8,"147,495","Comedy, Crime, Drama",40.0,Series,TV-14,245,Mild,Severe,Mild,Mild,Moderate
184,American Horror Stories,1970-01-01 00:00:00.000002021,6.1,"12,381","Drama, Horror, Thriller",45.0,Series,TV-MA,8,Moderate,Severe,Severe,Moderate,Severe
185,Intrusion,1970-01-01 00:00:00.000002021,5.2,"8,561","Drama, Thriller",92.0,Film,TV-14,-,,Mild,Mild,Mild,Moderate
187,Blade Runner 2049,1970-01-01 00:00:00.000002017,8.0,"502,751","Action, Drama, Mystery",164.0,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate
188,The X Files,1970-01-01 00:00:00.000002017,8.6,"209,643","Crime, Drama, Mystery",45.0,Series,TV-14,217,Mild,Moderate,Mild,Mild,Severe
